Base	kmeans	kmeans des	kmeans desthr	parzen	parzen des	parzen desthr	svdd	svdd des	svdd desthr
Auslan	3.07	2.40	0.00	0.00	-0.25	0.00	10.22	7.76	0.00
Autos	9.40	29.45	28.66	1.20	1.20	3.96	13.31	14.80	20.13
Car	36.46	31.25	36.07	0.00	19.60	18.07	12.73	24.94	42.79
Cleveland	18.16	23.46	25.71	2.78	-1.68	2.03	9.48	9.50	16.17
Dermatology	61.12	65.44	68.31	0.00	49.46	45.68	43.18	57.66	59.79
Ecoli	36.01	37.60	44.71	19.72	22.90	13.82	28.84	33.12	41.39
Flare	8.10	42.16	44.70	27.44	45.35	45.55	21.76	44.59	47.21
Glass	20.86	26.14	33.98	24.75	24.32	27.13	29.92	20.87	19.20
Isolet	25.73	22.67	24.94	0.00	-2.00	-3.20	0.00	-1.73	-2.93
Led7digit	30.55	29.96	41.37	41.96	36.33	46.70	35.61	30.97	39.50
Letter-2	13.13	13.24	25.93	1.98	-0.38	-1.52	19.02	18.08	25.49
Lymphography	12.66	12.66	34.04	0.00	2.03	1.89	28.91	21.51	16.76
Nursery	28.96	31.90	41.24	0.00	7.89	9.26	36.15	43.71	56.00
Page-blocks	19.35	45.79	45.98	16.23	34.12	32.03	19.80	39.66	38.97
Penbased	56.31	66.36	70.77	0.80	45.06	42.97	39.29	66.14	72.57
Satimage	58.66	68.19	73.52	0.00	56.68	52.02	57.17	77.26	72.07
Segment	22.22	73.13	80.86	25.81	66.06	65.96	40.15	74.34	81.82
Shuttle	60.27	93.59	95.21	62.81	93.92	94.52	41.82	93.18	94.13
Vehicle	23.99	35.65	41.68	0.15	14.56	9.03	25.27	35.35	40.62
Vowel	12.22	9.22	10.56	0.00	-2.78	-3.22	11.22	10.89	12.67
Yeast	13.53	11.85	16.95	24.52	20.06	18.00	6.83	8.15	17.82
Zoo	62.56	65.13	56.73	57.53	59.91	56.76	31.57	38.74	43.90
